"","SPEC_ID","PROTECTED...P","GENUS","SPECIES","COUNTRY","LOCALITY","QUARRY","DATE.COLLECTED","SEX","BONE","SIDE","AGE","variable","value","template"
"5794","OU1144/1 ","","Hippotherium","giganteum","3","1","","","unknown","femur","right","7.0","M2","399.28","femur length from trochanter"
"5813","HLMDSS-2","","""Hipparion"" ","sp.","5","1","","","unknown","humerus","no record","8.0","M2","188","humerus length from caput"
"5829","Ho1154","","Hippotherium","primigeneium","7","1","","","unknown","femur","left","10.3","M2","0","femur length from trochanter"
"5832","Ho194","","Hippotherium","primigeneium","7","1","","","unknown","femur","norecord","10.3","M2","0","femur length from trochanter"
"5833","Ho195052","","Hippotherium","primigeneium","7","1","","","unknown","femur","right","10.3","M2","400","femur length from trochanter"
"5834","Ho205","","Hippotherium","primigeneium","7","1","","","unknown","femur","right","10.3","M2","0","femur length from trochanter"
"5835","Ho205052","","Hippotherium","primigeneium","7","1","","","unknown","femur","left","10.3","M2","352","femur length from trochanter"
"5838","Ho2955","","Hippotherium","primigeneium","7","1","","","unknown","femur","norecord","10.3","M2","0","femur length from trochanter"
"5843","Ho4156","","Hippotherium","primigeneium","7","1","","","unknown","humerus","left","10.3","M2","247.8","humerus length from caput"
"5851","Ho554","","Hippotherium","primigeneium","7","1","","","unknown","humerus","norecord","10.3","M2","0","humerus length from caput"
"5852","Ho5759","","Hippotherium","primigeneium","7","1","","","unknown","humerus","right","10.3","M2","238.4","humerus length from caput"
"5854","Ho62","","Hippotherium","primigeneium","7","1","","","unknown","humerus","right","10.3","M2","0","humerus length from caput"
"5855","Ho63","","Hippotherium","primigeneium","7","1","","","unknown","humerus","left","10.3","M2","0","humerus length from caput"
"5858","HoA54","","Hippotherium","primigeneium","7","1","","","male","femur","left","10.3","M2","380","femur length from trochanter"
"5859","HoA54","","Hippotherium","primigeneium","7","1","","","male","femur","right","10.3","M2","370","femur length from trochanter"
"5860","HoA54","","Hippotherium","primigeneium","7","1","","","male","humerus","left","10.3","M2","283","humerus length from caput"
"5861","HoA54","","Hippotherium","primigeneium","7","1","","","male","humerus","right","10.3","M2","273","humerus length from caput"
"5866","HoB54112","","Hippotherium","primigeneium","7","1","","","male","femur","left","10.3","M2","345","femur length from trochanter"
"5868","HoB548","","Hippotherium","primigeneium","7","1","","","male","humerus","right","10.3","M2","250.5","humerus length from caput"
"5870","HoC5466","","Hippotherium","primigeneium","7","1","","","female","humerus","left","10.3","M2","0","humerus length from caput"
"5871","HoC5467","","Hippotherium","primigeneium","7","1","","","female","humerus","right","10.3","M2","0","humerus length from caput"
"5872","HoC5470","","Hippotherium","primigeneium","7","1","","","female","femur","right","10.3","M2","365","femur length from trochanter"
"5873","HoC5471","","Hippotherium","primigeneium","7","1","","","female","femur","left","10.3","M2","0","femur length from trochanter"
"5877","HoE54102","","Hippotherium","primigeneium","7","1","","","female","femur","left","10.3","M2","392","femur length from trochanter"
"5878","HoE54114","","Hippotherium","primigeneium","7","1","","","female","humerus","right","10.3","M2","278.6","humerus length from caput"
"5879","HoE54115","","Hippotherium","primigeneium","7","1","","","female","humerus","left","10.3","M2","275.8","humerus length from caput"
"5883","HoE5478","","Hippotherium","primigeneium","7","1","","","female","femur","right","10.3","M2","0","femur length from trochanter"
"5884","HoG54","","Hippotherium","primigeneium","7","1","","","male","humerus","left","10.3","M2","0","humerus length from caput"
"5885","HoG54","","Hippotherium","primigeneium","7","1","","","male","humerus","right","10.3","M2","0","humerus length from caput"
"5891","HoI531","","Hippotherium","primigeneium","7","1","","","female","humerus","left","10.3","M2","0","humerus length from caput"
"5893","HoII53","","Hippotherium","primigeneium","7","1","","","unknown","femur","left","10.3","M2","0","femur length from trochanter"
"5894","HoII53","","Hippotherium","primigeneium","7","1","","","unknown","humerus","left","10.3","M2","0","humerus length from caput"
"5898","HoIII","","Hippotherium","primigeneium","7","1","","","unknown","humerus","left","10.3","M2","0","humerus length from caput"
"5899","HoIII","","Hippotherium","primigeneium","7","1","","","unknown","humerus","right","10.3","M2","0","humerus length from caput"
"5903","HoT56","","Hippotherium","primigeneium","7","1","","","unknown","humerus","left","10.3","M2","282.8","humerus length from caput"
"5905","HoT5634","","Hippotherium","primigeneium","7","1","","","unknown","femur","left","10.3","M2","370","femur length from trochanter"
"5909","HoV5871","","Hippotherium","primigeneium","7","1","","","female","femur","left","10.3","M2","0","femur length from trochanter"
"5911","HoY59194","","Hippotherium","primigeneium","7","1","","","unknown","femur","right","10.3","M2","335","femur length from trochanter"
"5912","HoY59195","","Hippotherium","primigeneium","7","1","","","unknown","femur","left","10.3","M2","0","femur length from trochanter"
"5917","HoY5954","","Hippotherium","primigeneium","7","1","","","unknown","humerus","right","10.3","M2","254.5","humerus length from caput"
"5918","HoY5955","","Hippotherium","primigeneium","7","1","","","unknown","humerus","left","10.3","M2","0","humerus length from caput"
"5920","DD121","","Hippotherium","primigeneium","7","2","","","unknown","humerus","norecord","10.0","M2","0","humerus length from caput"
"5923","DD2920","","Hippotherium","primigeneium","7","2","","","unknown","humerus","norecord","10.0","M2","0","humerus length from caput"
"5924","DD4189","","Hippotherium","primigeneium","7","2","","","unknown","humerus","norecord","10.0","M2","0","humerus length from caput"
"5925","DDnonumb1","","Hippotherium","primigeneium","7","2","","","unknown","humerus","norecord","10.0","M2","0","humerus length from caput"
"5928","DDnonumb2","","Hippotherium","primigeneium","7","2","","","unknown","humerus","norecord","10.0","M2","0","humerus length from caput"
"5929","PIUW1344/1","","Hippotherium ","brachypus","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5930","PIUW1344/10","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5931","PIUW1344/11","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5932","PIUW1344/12","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5933","PIUW1344/13","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5934","PIUW1344/14","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","250.4","humerus length from caput"
"5935","PIUW1344/15","","Hippotherium ","brachypus","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5936","PIUW1344/16","","Hippotherium ","brachypus","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5937","PIUW1344/17","","Cremohipparion","mediterraneum","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5938","PIUW1344/18","","Cremohipparion","mediterraneum","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5939","PIUW1344/19","","Cremohipparion","mediterraneum","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5940","PIUW1344/2","","Cremohipparion","mediterraneum","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5941","PIUW1344/20","","Cremohipparion","mediterraneum","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5942","PIUW1344/21","","Cremohipparion","mediterraneum","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5943","PIUW1344/3","","""Hipparion"" ","sp.","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5944","PIUW1344/4","","""Hipparion"" ","sp.","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5945","PIUW1344/5","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5946","PIUW1344/6","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5947","PIUW1344/7","","Hippotherium ","brachypus","11","1","","","unknown","humerus","left","8.0","M2","","humerus length from caput"
"5948","PIUW1344/8","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5949","PIUW1344/9","","Hippotherium ","brachypus","11","1","","","unknown","humerus","right","8.0","M2","","humerus length from caput"
"5990","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","femur","norecord","10.0","M2","0","femur length from trochanter"
"5991","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","femur","norecord","10.0","M2","0","femur length from trochanter"
"5992","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","femur","norecord","10.0","M2","0","femur length from trochanter"
"5993","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","femur","norecord","10.0","M2","0","femur length from trochanter"
"6005","MAFIV11853","","Hippotherium ","intrans","12","1","","","unknown","humerus","norecord","10.0","M2","0","humerus length from caput"
"6006","MAFIV11871","","Hippotherium ","intrans","12","1","","","unknown","humerus","norecord","10.0","M2","0","humerus length from caput"
"6042","MAFIV11256A","","Hippotherium ","csakvarense","12","3","","","unknown","humerus","left","9.0","M2","","humerus length from caput"
"6043","MAFIV11256B","","Hippotherium ","csakvarense","12","3","","","unknown","humerus","right","9.0","M2","","humerus length from caput"
"6044","MAFIV11256C","","Hippotherium ","csakvarense","12","3","","","unknown","humerus","left","9.0","M2","","humerus length from caput"
"6045","MAFIV11256D","","Hippotherium ","csakvarense","12","3","","","unknown","humerus","left","9.0","M2","","humerus length from caput"
"6047","MAFIBalt153","","Hippotherium ","microdon","12","4","","","unknown","femur","left","7.0","M2","","femur length from trochanter"
"6048","MAFIBalt219","","Hippotherium ","microdon","12","4","","","unknown","femur","right","7.0","M2","","femur length from trochanter"
"6050","MAFIBalt396","","Hippotherium ","microdon","12","4","","","unknown","femur","left","7.0","M2","","femur length from trochanter"
"6052","MAFIBalt742L","","Hippotherium ","microdon","12","4","","","unknown","humerus","right","7.0","M2","","humerus length from caput"
"6055","MAFIOB3211","","Hippotherium ","microdon","12","4","","","unknown","femur","right","7.0","M2","","femur length from trochanter"
"6071","NHBJH153","","Hippotherium ","malpassii","15","1","","","unknown","humerus","left","6.7","M2","","humerus length from caput"
"6075","KNM-LT25478A","","Sivalhippus","turkanensis","19","2","","","unknown","femur","left","6.5","M2","398","femur length from trochanter"
"6078","KNM-LT8736","","Sivalhippus","turkanensis","19","8","","","unknown","femur","right","7.0","M2","","femur length from trochanter"
"6083","RMNH067/1644","","Equid","","20","6","","","unknown","humerus","norecord","?","M2","","humerus length from caput"
"6084","RMNH067/843","","Equid","","20","6","","","unknown","femur","norecord","?","M2","374","femur length from trochanter"
"6085","RMNH1","","Equid","","20","6","","","unknown","femur","norecord","?","M2","","femur length from trochanter"
"6087","RMNH1182","","Eurygnathohippus","sp.","20","6","","","unknown","humerus","norecord","?","M2","","humerus length from caput"
"6090","RMNH1352","","Eurygnathohippus","sp.","20","6","","","unknown","femur","norecord","?","M2","360","femur length from trochanter"
"6091","RMNH1384","","Equid","","20","6","","","unknown","femur","norecord","?","M2","","femur length from trochanter"
"6092","RMNH1386","","Equid","","20","6","","","unknown","femur","norecord","?","M2","","femur length from trochanter"
"6098","RMNH187","","Equid","","20","6","","","unknown","humerus","norecord","?","M2","","humerus length from caput"
"6101","RMNH264","","Equid","","20","6","","","unknown","femur","norecord","?","M2","","femur length from trochanter"
"6102","RMNH268","","Equid","","20","6","","","unknown","humerus","norecord","?","M2","","humerus length from caput"
"6103","RMNH2685","","Equid","","20","6","","","unknown","humerus","norecord","?","M2","","humerus length from caput"
"6104","RMNH280","","Equid","","20","6","","","unknown","humerus","norecord","?","M2","229.92","humerus length from caput"
"6105","RMNH284","","Equid","","20","6","","","unknown","humerus","norecord","?","M2","","humerus length from caput"
"6106","RMNH305","","Equid","","20","6","","","unknown","humerus","norecord","?","M2","","humerus length from caput"
"6126","RMNHNo number","","Equid","","20","6","","","unknown","femur","norecord","?","M2","","femur length from trochanter"
"6129","SAMPQL13202","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","right","5.00","M2","","femur length from trochanter"
"6130","SAMPQL13870","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","right","5.00","M2","","femur length from trochanter"
"6131","SAMPQL20178","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","right","5.00","M2","","femur length from trochanter"
"6133","SAMPQL20541","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","right","5.00","M2","338","femur length from trochanter"
"6134","SAMPQL20541","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","humerus","left","5.00","M2","231.2","humerus length from caput"
"6136","SAMPQL20553","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","left","5.00","M2","","femur length from trochanter"
"6139","SAMPQL20846","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","right","5.00","M2","","femur length from trochanter"
"6140","SAMPQL20847","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","left","5.00","M2","","femur length from trochanter"
"6142","SAMPQL21295C","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","left","5.00","M2","319","femur length from trochanter"
"6150","SAMPQL3410","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","right","5.00","M2","","femur length from trochanter"
"6152","SAMPQL3412","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","left","5.00","M2","","femur length from trochanter"
"6153","SAMPQL42731","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","left","5.00","M2","","femur length from trochanter"
"6158","SAMPQL5845","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","left","5.00","M2","","femur length from trochanter"
"6162","SAMPQL9653","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","left","5.00","M2","","femur length from trochanter"
"6166","SAMPQL9973","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","femur","right","5.0","M2","","femur length from trochanter"
"6171","AS90/220","","""Hipparion"" ","sp.","24","2","","","unknown","humerus","right","10.8-9.0","M2","0","humerus length from caput"
"6174","AS92/242","","""Hipparion"" ","sp.","24","2","","","unknown","humerus","left","10.8-9.0","M2","0","humerus length from caput"
"6179","AS93/842","","""Hipparion"" ","sp.","24","2","","","unknown","humerus","left","10.8-9.0","M2","0","humerus length from caput"
"6182","MNHNRLB02","","""Hipparion"" ","sp.","24","2","","","unknown","humerus","right","9.9","M2","0","humerus length from caput"
"6183","MNHNRLB03","","""Hipparion"" ","sp.","24","2","","","unknown","humerus","left","9.9","M2","0","humerus length from caput"
"7053","Ho21854","","Hippotherium","primigeneium","7","1","","","unknown","mc4","norecord","10.3","M3","19.7","metacarpal proximal breadth"
"7078","HoA54","","Hippotherium","primigeneium","7","1","","","male","mc2","left","10.3","M3","18.5","metacarpal proximal breadth"
"7081","HoA54","","Hippotherium","primigeneium","7","1","","","male","mc4","left","10.3","M3","19.4","metacarpal proximal breadth"
"7090","HoB39","","Hippotherium","primigeneium","7","1","","","male","mc2","left","10.3","M3","19","metacarpal proximal breadth"
"7091","HoB51","","Hippotherium","primigeneium","7","1","","","male","mc2","right","10.3","M3","19.2","metacarpal proximal breadth"
"7092","HoB53","","Hippotherium","primigeneium","7","1","","","male","mc4","left","10.3","M3","20.2","metacarpal proximal breadth"
"7093","HoB53","","Hippotherium","primigeneium","7","1","","","male","mc4","right","10.3","M3","20.5","metacarpal proximal breadth"
"7101","HoC110","","Hippotherium","primigeneium","7","1","","","female","mc4","left","10.3","M3","20.6","metacarpal proximal breadth"
"7102","HoC111","","Hippotherium","primigeneium","7","1","","","female","mc2","left","10.3","M3","17.4","metacarpal proximal breadth"
"7103","HoC127","","Hippotherium","primigeneium","7","1","","","female","mc2","right","10.3","M3","17.4","metacarpal proximal breadth"
"7105","HoC128","","Hippotherium","primigeneium","7","1","","","female","mc4","right","10.3","M3","19.2","metacarpal proximal breadth"
"7113","HoE26","","Hippotherium","primigeneium","7","1","","","female","mc4","left","10.3","M3","18.3","metacarpal proximal breadth"
"7115","HoE32","","Hippotherium","primigeneium","7","1","","","female","mc4","right","10.3","M3","18.1","metacarpal proximal breadth"
"7116","HoE33","","Hippotherium","primigeneium","7","1","","","female","mc2","right","10.3","M3","18.2","metacarpal proximal breadth"
"7117","HoE34","","Hippotherium","primigeneium","7","1","","","female","mc2","left","10.3","M3","18.3","metacarpal proximal breadth"
"7129","HoG","","Hippotherium","primigeneium","7","1","","","male","mc2","left","10.3","M3","20.5","metacarpal proximal breadth"
"7130","HoG","","Hippotherium","primigeneium","7","1","","","male","mc2","right","10.3","M3","0","metacarpal proximal breadth"
"7131","HoG","","Hippotherium","primigeneium","7","1","","","male","mc4","left","10.3","M3","19.5","metacarpal proximal breadth"
"7132","HoG","","Hippotherium","primigeneium","7","1","","","male","mc4","right","10.3","M3","19.9","metacarpal proximal breadth"
"7148","HoI53","","Hippotherium","primigeneium","7","1","","","female","mc2","left","10.3","M3","17.5","metacarpal proximal breadth"
"7149","HoI53","","Hippotherium","primigeneium","7","1","","","female","mc2","right","10.3","M3","17.9","metacarpal proximal breadth"
"7152","HoI53","","Hippotherium","primigeneium","7","1","","","female","mc4","left","10.3","M3","19.8","metacarpal proximal breadth"
"7153","HoI53","","Hippotherium","primigeneium","7","1","","","unknown","mc4","right","10.3","M3","19.6","metacarpal proximal breadth"
"7161","HoII53","","Hippotherium","primigeneium","7","1","","","unknown","mc2","left","10.3","M3","0","metacarpal proximal breadth"
"7162","HoII53","","Hippotherium","primigeneium","7","1","","","unknown","mc2","right","10.3","M3","0","metacarpal proximal breadth"
"7163","HoII53","","Hippotherium","primigeneium","7","1","","","unknown","mc4","left","10.3","M3","19","metacarpal proximal breadth"
"7164","HoII53","","Hippotherium","primigeneium","7","1","","","unknown","mc4","right","10.3","M3","19","metacarpal proximal breadth"
"7171","HoIII","","Hippotherium","primigeneium","7","1","","","unknown","mc2","left","10.3","M3","17.4","metacarpal proximal breadth"
"7172","HoIII","","Hippotherium","primigeneium","7","1","","","unknown","mc2","right","10.3","M3","18.5","metacarpal proximal breadth"
"7175","HoIII","","Hippotherium","primigeneium","7","1","","","unknown","mc4","left","10.3","M3","17.3","metacarpal proximal breadth"
"7176","HoIII","","Hippotherium","primigeneium","7","1","","","unknown","mc4","right","10.3","M3","17.5","metacarpal proximal breadth"
"7190","HoJ5910","","Hippotherium","primigeneium","7","1","","","unknown","mc4","left","10.3","M3","19.4","metacarpal proximal breadth"
"7191","HoJ5929","","Hippotherium","primigeneium","7","1","","","unknown","mc2","right","10.3","M3","19.3","metacarpal proximal breadth"
"7192","HoJ5931","","Hippotherium","primigeneium","7","1","","","unknown","mc4","right","10.3","M3","18.9","metacarpal proximal breadth"
"7194","HoM552","","Hippotherium","primigeneium","7","1","","","unknown","mc4","right","10.3","M3","19.5","metacarpal proximal breadth"
"7195","HoM553","","Hippotherium","primigeneium","7","1","","","unknown","mc2","right","10.3","M3","17.8","metacarpal proximal breadth"
"7198","HoM554","","Hippotherium","primigeneium","7","1","","","unknown","mc2","left","10.3","M3","18","metacarpal proximal breadth"
"7199","HoM556","","Hippotherium","primigeneium","7","1","","","unknown","mc4","left","10.3","M3","19.5","metacarpal proximal breadth"
"7216","HoV5812","","Hippotherium","primigeneium","7","1","","","female","mc4","left","10.3","M3","16.5","metacarpal proximal breadth"
"7218","HoV5813","","Hippotherium","primigeneium","7","1","","","female","mc2","left","10.3","M3","18.2","metacarpal proximal breadth"
"7219","HoV5826","","Hippotherium","primigeneium","7","1","","","female","mc2","right","10.3","M3","18.4","metacarpal proximal breadth"
"7223","HoY115","","Hippotherium","primigeneium","7","1","","","unknown","mc2","right","10.3","M3","17.6","metacarpal proximal breadth"
"7224","HoY116","","Hippotherium","primigeneium","7","1","","","unknown","mc4","right","10.3","M3","17.7","metacarpal proximal breadth"
"7226","HoY130","","Hippotherium","primigeneium","7","1","","","unknown","mc4","left","10.3","M3","18","metacarpal proximal breadth"
"7227","HoY131","","Hippotherium","primigeneium","7","1","","","unknown","mc2","left","10.3","M3","0","metacarpal proximal breadth"
"8015","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","13.7","metacarpal proximal breadth"
"8016","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","14.9","metacarpal proximal breadth"
"8017","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","12.9","metacarpal proximal breadth"
"8018","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","12.5","metacarpal proximal breadth"
"8019","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","14.4","metacarpal proximal breadth"
"8020","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","0","metacarpal proximal breadth"
"8021","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","12.9","metacarpal proximal breadth"
"8022","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","0","metacarpal proximal breadth"
"8023","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","16.6","metacarpal proximal breadth"
"8024","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","13","metacarpal proximal breadth"
"8025","MAFIV","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","13.3","metacarpal proximal breadth"
"8048","MAFIV12343","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","15.3","metacarpal proximal breadth"
"8054","MAFIV15686","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","17.6","metacarpal proximal breadth"
"8079","MAFIV15773","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","14.5","metacarpal proximal breadth"
"8081","MAFIV15784","","Hippotherium ","intrans","12","1","","","unknown","mc2or4","norecord","10.0","M3","14.3","metacarpal proximal breadth"
"8166","MAFIBalt509L","","Hippotherium ","microdon","12","4","","","unknown","mc2","right","7.0","M3","11.5","metacarpal proximal breadth"
"8171","MAFIBalt659","","Hippotherium ","microdon","12","4","","","unknown","mc2","left","7.0","M3","11.7","metacarpal proximal breadth"
"8174","MAFIBalt750L","","Hippotherium ","microdon","12","4","","","unknown","mc2","right","7.0","M3","11.8","metacarpal proximal breadth"
"8436","SAMPQL13613","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","mc4","right","5.00","M3","13.2","metacarpal proximal breadth"
"8455","SAMPQL40625","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","mc2or4","left","5.00","M3","13.5","metacarpal proximal breadth"
"8464","SAMPQL50250","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","mc2","left","5.00","M3","15.7","metacarpal proximal breadth"
"8469","SAMPQL63552","","Eurygnathohippus","hooijeri","23","1","E Quarry","","unknown","mc4","right","5.00","M3","12.4","metacarpal proximal breadth"
"8557","AS92/259","","""Hipparion"" ","sp.","24","2","","","unknown","mc2","norecord","10.8-9.0","M3","13.5","metacarpal proximal breadth"
"8564","AS92/441B","","""Hipparion"" ","sp.","24","2","","","unknown","mc2","norecord","10.8-9.0","M3","17.7","metacarpal proximal breadth"
"8590","AS93/604B","","""Hipparion"" ","sp.","24","2","","","unknown","mc2","norecord","10.8-9.0","M3","14.1","metacarpal proximal breadth"
"8630","MNHNTRQ1129","","""Hipparion"" ","kecigibi","24","2","SO1/OZ01","","unknown","mc2","right","9.78","M3","10.7","metacarpal proximal breadth"
"8632","MNHNTRQ1129","","""Hipparion"" ","kecigibi","24","2","SO1/OZ01","","unknown","mc4","right","9.78","M3","13.7","metacarpal proximal breadth"
"8863","ISP26P25A_OC","","""Hipparion"" ","sp.","27","1","U1","","unknown","mc2","right","7.1","M3","","metacarpal proximal breadth"
"8872","ISP40P4A_OC","","""Hipparion"" ","sp.","27","1","U2","","unknown","mc4","right","7.1","M3","","metacarpal proximal breadth"
"8874","ISP46P16A_OC","","""Hipparion"" ","sp.","27","1","U1","","unknown","mc2","right","7.1","M3","","metacarpal proximal breadth"
"8881","ISP93P109A_OC","","""Hipparion"" ","sp.","27","1","U2","","unknown","mc2","right","7.1","M3","","metacarpal proximal breadth"
"8882","ISPOHNE.NR.C_OC","","""Hipparion"" ","sp.","27","1","","","unknown","mc4","left","7.1","M3","10.44","metacarpal proximal breadth"
"12402","AMNH100","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","0","metacarpal proximal breadth"
"12403","AMNH101","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","32.8","metacarpal proximal breadth"
"12404","AMNH102","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","36","metacarpal proximal breadth"
"12423","AMNH23","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","40.1","metacarpal proximal breadth"
"12424","AMNH24","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","38.9","metacarpal proximal breadth"
"12427","AMNH27","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","38","metacarpal proximal breadth"
"12428","AMNH28","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","28.5","metacarpal proximal breadth"
"12432","AMNH31","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","38.2","metacarpal proximal breadth"
"12433","AMNH32","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","38.3","metacarpal proximal breadth"
"12434","AMNH33","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","35.1","metacarpal proximal breadth"
"12435","AMNH34","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","36.7","metacarpal proximal breadth"
"12436","AMNH35","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","33.2","metacarpal proximal breadth"
"12437","AMNH36","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","35.2","metacarpal proximal breadth"
"12438","AMNH37","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","36.5","metacarpal proximal breadth"
"12439","AMNH38","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","28.9","metacarpal proximal breadth"
"12440","AMNH39","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","38","metacarpal proximal breadth"
"12442","AMNH40","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","27.7","metacarpal proximal breadth"
"12450","AMNH48","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","37.8","metacarpal proximal breadth"
"12453","AMNH51","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","0","metacarpal proximal breadth"
"12456","AMNH53","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","36.9","metacarpal proximal breadth"
"12458","AMNH55","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","37.5","metacarpal proximal breadth"
"12467","AMNH64","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","27","metacarpal proximal breadth"
"12470","AMNH67","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","39.2","metacarpal proximal breadth"
"12471","AMNH68","","Cormohipparion","sp.","1","2","X-Mas Q","","unknown","mc3","norecord","10.0","M5","0","metacarpal proximal breadth"
